ID;Profil;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;E_Gueltig;E_G1;E_D1;E_D2;E_D3;E_D4
1;Maximale LQ (alle Items optimal);5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;100.0;100.0;100.0;100.0;100.0
2;Gute LQ (Referenzprofil);4;4;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;75.0;78.6;75.0;75.0;75.0
3;Mittlere LQ (alle 3 - Referenz);3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;50.0;50.0;50.0;50.0;50.0
4;Schlechte LQ;2;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;25.0;25.0;25.0;25.0;25.0
5;Minimale LQ (alle Items negativ);1;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;0.0;0.0;0.0;0.0;0.0
6;Koerperliche Einschraenkungen;3;2;5;4;4;4;3;4;3;2;3;3;4;3;2;2;2;2;3;4;3;4;3;3;4;2;1;37.5;21.4;62.5;66.7;59.4
7;Psychische Belastung - Depression;2;3;2;1;1;2;2;4;3;3;2;3;3;2;4;2;3;3;1;3;2;3;3;3;3;5;1;37.5;60.7;12.5;41.7;50.0
8;Soziale Isolation;3;4;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;4;4;4;2;1;62.5;78.6;75.0;0.0;75.0
9;Umweltprobleme;3;4;2;1;4;4;4;2;2;4;4;1;2;2;4;4;4;4;4;4;4;4;2;2;2;2;1;62.5;78.6;75.0;75.0;21.9
10;Aeltere Person chronische Erkrankung;3;2;4;4;3;3;3;3;3;2;3;3;3;2;2;3;2;2;3;3;2;3;3;3;3;3;1;37.5;28.6;50.0;41.7;46.9
11;Junger Erwachsener sozial gut integriert;4;4;2;1;4;4;4;3;3;4;4;3;5;4;5;4;4;4;4;5;4;5;3;3;4;2;1;75.0;82.1;75.0;91.7;62.5
12;Burnout-Symptome;2;2;3;2;1;1;2;3;3;2;2;3;3;1;3;1;2;2;1;2;1;2;3;3;3;5;1;25.0;35.7;8.3;16.7;43.8
13;Aktive Seniorin;4;4;2;2;4;4;3;4;4;4;3;4;3;4;4;4;4;3;4;4;3;4;4;3;4;2;1;75.0;71.4;66.7;66.7;68.8
14;Chronische Schmerzen - gute Psyche;3;2;5;4;4;5;4;4;4;2;4;4;4;3;2;2;3;2;4;4;3;4;4;4;4;2;1;37.5;25.0;79.2;66.7;71.9
15;Sozial gut - finanziell arm;4;3;2;1;4;4;4;3;3;3;4;1;3;2;3;4;3;3;3;5;4;5;2;2;2;2;1;62.5;64.3;70.8;91.7;31.2
16;Gut - 1 fehlender Wert (F21);4;4;2;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;;4;4;4;4;2;1;75.0;78.6;75.0;75.0;71.9
17;Mittel - 3 fehlende Werte (F7 F19 F24);3;3;3;2;3;3;;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;;3;3;1;50.0;53.6;;50.0;50.0
18;Gemischtes Profil;3;4;3;2;3;4;3;3;4;3;3;2;4;3;3;3;3;4;3;3;2;4;3;3;3;3;1;62.5;57.1;54.2;50.0;53.1
19;Gute Physik - schlechte Psyche;3;4;1;1;2;2;2;3;3;5;2;3;3;3;5;4;4;4;2;3;3;3;3;3;3;5;1;62.5;89.3;20.8;50.0;50.0
20;UNGUELTIG - 7 fehlende Werte;4;3;;;;4;;4;4;4;4;;4;4;4;3;4;4;;3;3;4;4;;4;2;0;62.5;;;58.3;75.0
21;IG-Example;4;4;2;1;4;4;1;1;5;4;4;3;4;3;4;3;4;4;4;4;3;4;4;4;3;2;1;75.0;75.0;62.5;66.7;59.4
